act_code,act_name,chapter,section_number,section_title,url,is_repealed,scraped_at,source
MVA,Motor Vehicles Act 2019,,,Sections,#tb1,False,2026-03-23T06:56:56.799079,indiacode
MVA,Motor Vehicles Act 2019,,,Schedule,#tb10,False,2026-03-23T06:56:56.799079,indiacode
